PHISWID train,,,,PHISWID test,,,
original img,,depth img,,original img,,depth img,
1room.png,,train/HR/01.Warehouse/depth_vi,in_00_160225_145412_depth_vi.png,1room.png,,train/HR/01.Warehouse/depth_vi,in_00_160225_144308_depth_vi.png
2room.png,,,in_00_160225_145414_depth_vi.png,2room.png,,,in_00_160225_144316_depth_vi.png
3room.png,,,in_00_160225_145455_depth_vi.png,3room.png,,,in_00_160225_144352_depth_vi.png
4room.png,,,in_00_160225_145504_depth_vi.png,4room.png,,,in_00_160225_144356_depth_vi.png
5room.png,,,in_00_160225_145509_depth_vi.png,5room.png,,,in_00_160225_144404_depth_vi.png
6room.png,,,in_00_160225_145654_depth_vi.png,6room.png,,,in_00_160225_144433_depth_vi.png
7room.png,,,in_00_160225_145733_depth_vi.png,7room.png,,,in_00_160225_144444_depth_vi.png
8room.png,,,in_00_160225_145756_depth_vi.png,8room.png,,,in_00_160225_145322_depth_vi.png
9room.png,,,in_00_160225_145814_depth_vi.png,9room.png,,,in_00_160225_145333_depth_vi.png
10room.png,,,in_00_160225_145828_depth_vi.png,10room.png,,,in_00_160225_145339_depth_vi.png
11room.png,,,in_00_160225_150127_depth_vi.png,11room.png,,train/HR/01.Warehouse/depth_vi,in_00_160225_144308_depth_vi.png
12room.png,,,in_00_160225_150138_depth_vi.png,12room.png,,,in_00_160225_144316_depth_vi.png
13room.png,,,in_00_160225_150149_depth_vi.png,13room.png,,,in_00_160225_144352_depth_vi.png
14room.png,,,in_00_160225_150559_depth_vi.png,14room.png,,,in_00_160225_144356_depth_vi.png
15room.png,,,in_00_160225_150626_depth_vi.png,15room.png,,,in_00_160225_144404_depth_vi.png
16room.png,,,in_00_160225_150637_depth_vi.png,16room.png,,,in_00_160225_144433_depth_vi.png
17room.png,,,in_00_160225_150711_depth_vi.png,17room.png,,,in_00_160225_144444_depth_vi.png
18room.png,,,in_00_160225_151643_depth_vi.png,18room.png,,,in_00_160225_145322_depth_vi.png
19room.png,,,in_00_160225_151743_depth_vi.png,19room.png,,,in_00_160225_145333_depth_vi.png
20room.png,,,in_00_160225_151809_depth_vi.png,20room.png,,,in_00_160225_145339_depth_vi.png
21room.png,,,in_00_160225_151823_depth_vi.png,21room.png,,train/HR/01.Warehouse/depth_vi,in_00_160225_144308_depth_vi.png
22room.png,,,in_00_160225_151834_depth_vi.png,22room.png,,,in_00_160225_144316_depth_vi.png
23room.png,,,in_00_160225_151851_depth_vi.png,23room.png,,,in_00_160225_144352_depth_vi.png
