File names of the ground truth images in PHISWID.,Corresponding file names (including directory info) for depth images in the large-scale RGB-D database.
1room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145412_depth_vi.png
2room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145414_depth_vi.png
3room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145455_depth_vi.png
4room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145504_depth_vi.png
5room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145509_depth_vi.png
6room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145654_depth_vi.png
7room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145733_depth_vi.png
8room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145756_depth_vi.png
9room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145814_depth_vi.png
10room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_145828_depth_vi.png
11room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_150127_depth_vi.png
12room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_150138_depth_vi.png
13room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_150149_depth_vi.png
14room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_150559_depth_vi.png
15room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_150626_depth_vi.png
16room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_150637_depth_vi.png
17room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_150711_depth_vi.png
18room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151643_depth_vi.png
19room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151743_depth_vi.png
20room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151809_depth_vi.png
21room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151823_depth_vi.png
22room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151834_depth_vi.png
23room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151851_depth_vi.png
24room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151902_depth_vi.png
25room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151911_depth_vi.png
26room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151920_depth_vi.png
27room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151928_depth_vi.png
28room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151940_depth_vi.png
29room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_151949_depth_vi.png
30room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_152118_depth_vi.png
31room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_152128_depth_vi.png
32room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_152132_depth_vi.png
33room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_152247_depth_vi.png
34room.png,train/HR/01.Warehouse/depth_vi/in_00_160225_152253_depth_vi.png
35room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_123934_depth_vi.png
36room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_123940_depth_vi.png
37room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_123947_depth_vi.png
38room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_123954_depth_vi.png
39room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_124029_depth_vi.png
40room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125038_depth_vi.png
41room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125047_depth_vi.png
42room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125103_depth_vi.png
43room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125238_depth_vi.png
44room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125331_depth_vi.png
45room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125540_depth_vi.png
46room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125543_depth_vi.png
47room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125546_depth_vi.png
48room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125555_depth_vi.png
49room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125638_depth_vi.png
50room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125653_depth_vi.png
51room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125657_depth_vi.png
52room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125702_depth_vi.png
53room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125707_depth_vi.png
54room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125709_depth_vi.png
55room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125713_depth_vi.png
